name,logo_file,logo_source,logo_source_url
Psí salón Veselá Labka - Ružinov,psi-salon-vesela-labka-ruzinov.png,chain-brand,https://www.veselalabka.sk/assets/images/logo.png
Psí salón Veselá Labka - Petržalka,psi-salon-vesela-labka-petrzalka.png,chain-brand,https://www.veselalabka.sk/assets/images/logo.png
Psí salón Zuzana,,none,https://salon-pre-psov.sk/;https://www.facebook.com/
Psí salón My Champ,,none,http://www.mychamp.sk/MC%20logo.png;https://www.facebook.com/mychamp.sk/
Salón pre psov Labku na to,,none,https://www.labkunato.sk/;https://www.facebook.com/
SIBRA centrum veterinárnej medicíny,sibra-centrum-veterinarnej-mediciny.png,site-header,https://sibra.sk/wp-content/uploads/2020/09/sibra_logo.png
Vetline Veterinárna nemocnica,vetline-veterinarna-nemocnica.png,site-header,https://vetline.sk/images/logo-1.png
VetPoint veterinárna klinika,vetpoint-veterinarna-klinika.svg,site-header,https://vetpoint.sk/wp-content/themes/vetpoint/assets/images/logo.svg
Veterinárna klinika PrimaVet,veterinarna-klinika-primavet.svg,site-header,https://www.primavet.sk/wp-content/uploads/2021/04/PrimaVet_logo_bez-textu.svg
Veterinárna klinika BullyPet,veterinarna-klinika-bullypet.png,site-header,https://bullypet.sk/wp-content/uploads/2024/09/logo-bullypet.png
Veterinárna poliklinika BAJVET,veterinarna-poliklinika-bajvet.webp,site-header,https://bajvet.sk/wp-content/uploads/2024/11/logo.webp
EasyVet veterinárna klinika,easyvet-veterinarna-klinika.svg,site-header,https://easyvet.sk/assets/images/logo.svg
MyPet Clinic,mypet-clinic.png,site-header,https://mypetclinic.sk/wp-content/uploads/2023/07/logo.png
Veterinárna klinika Slnečnice,veterinarna-klinika-slnecnice.svg,site-header,https://vetslnecnice.sk/wp-content/uploads/2021/05/logo_final.svg
Animal clinic - MVDr. Andrea Gloneková,animal-clinic-mvdr-andrea-glonekova.png,site-header,https://animalclinic.sk/wp-content/uploads/2024/02/Asset-2.png
