name,category,address,district,phone,email,website,animals,source_url,observed_at,notes,lat,lng,description,photo_urls,google_place_id,google_maps_url,google_rating,google_rating_count,rating_observed_at,short_description,short_description_sk,logo_file
Opatrovanie mačiek Bratislava (Adriana Tanková),sitting,Bratislava (výjazdové opatrovanie u klienta doma),,+421 944 222 436,adriana.tankova@gmail.com,https://opatrovaniemaciek.sk,cat,https://opatrovaniemaciek.sk,2026-09-20,"Profesionálne opatrovanie a návštevy mačiek priamo v domácnosti majiteľa v Bratislave; výjazdová služba bez fixného sídla, district neurčený zámerne; no Google rating: mobile service without separate card",,,"Professional in-home cat sitting service across Bratislava by Adriana Tanková. Provides home visits, feeding, playtime, and medication administration to keep cats comfortable in their familiar environment.",https://opatrovaniemaciek.sk/wp-content/uploads/2020/06/slide3.jpg;https://opatrovaniemaciek.sk/wp-content/uploads/2021/06/cat8.jpg;https://opatrovaniemaciek.sk/wp-content/uploads/2021/06/cat7.jpg,,,,,2026-09-25,In-home cat sitting and feeding visits across the city during owners' absence.,Opatrovanie a kŕmenie mačiek priamo v ich domácom prostredí počas neprítomnosti.,
Petme Bratislava,sitting,Bratislava (pokrýva všetky mestské časti),,,support@petme.social,https://petme.social,dog;cat,https://petme.social,2026-09-20,"Platforma sprostredkujúca overených opatrovateľov na venčenie psov a návštevy zvierat doma v Bratislave; pokrýva celé mesto, district neurčený zámerne, lat/lng zámerne prázdne (bez fixného sídla); no Google rating: mobile platform without separate card",,,Online platform connecting pet owners with verified local pet sitters for dog walking and pet sitting across Bratislava. Operates with transparent pricing and included protection plans.,,,,,,2026-09-25,Online platform connecting pet owners with verified local sitters and dog walkers.,Online platforma spájajúca majiteľov zvierat s overenými opatrovateľmi a venčiarmi.,petme-bratislava.svg
PohoDOG Team – Venčenie a opatrovanie na doma,sitting,"Janotova 14, 841 04 Bratislava",karlova-ves,+421 903 371 151,info@pohodog.sk,https://www.pohodog.sk,dog,https://www.pohodog.sk,2026-09-20,Služby individuálneho venčenia a domáceho stráženia psov v Bratislave (Karlova Ves a Vlčie hrdlo),48.150273,17.057171,Individual dog walking and in-home pet sitting service in Karlova Ves and across Bratislava. Provided by experienced cynology trainers in a stress-free home format.,https://www.pohodog.sk/wp-content/uploads/2024/01/FB_IMG_1704711384903-768x1024.jpg;https://www.pohodog.sk/wp-content/uploads/2024/02/trio1.jpeg,ChIJh9eoMwCLbEcRQeBmubKC_nw,https://maps.google.com/?cid=9006780008913887297,5.0,12,2026-09-25,"Dog walking, home boarding and obedience training in a calm family environment.","Venčenie, domáce stráženie a výcvik psov v pokojnom rodinnom prostredí.",pohodog-team.png
Zvieratkovo Rača – Opatrovanie doma,sitting,"Mrázová 16, 831 06 Bratislava",raca,+421 905 589 956,sona@zvieratkovoraca.sk,https://www.zvieratkovo-raca.sk,dog;cat,https://www.zvieratkovo-raca.sk,2026-09-20,Výjazdové opatrovanie psov a mačiek priamo u majiteľa doma v Bratislave,48.204093,17.152434,"Mobile in-home pet sitting service based in Rača. Provides home visits, feeding, and care for dogs and cats directly at the owner's residence.",,ChIJgc8Nd2aObEcR3DLVsSiAoj0,https://maps.google.com/?cid=4441253094811316956,4.8,85,2026-09-25,"Cage-free in-home boarding, daycare and mobile pet sitting visits for dogs and cats.","Domáce stráženie bez kotercov, denná škôlka a výjazdová opatera psov i mačiek.",zvieratkovo-raca.png
Doggie – Výcviková škola,training,"Pod Vinicami 21, 811 02 Bratislava",stare-mesto,+421 902 244 244,doggie@doggie.sk,https://doggie.sk,dog,https://doggie.sk,2026-09-20,"Rodinná výcviková škola (kurzy poslušnosti, socializácia, individuálne tréningy v Bratislave); no Google rating: <5 reviews",48.145167,17.07981,"Dog training school in Staré Mesto founded by Juraj Ferko. Offers obedience courses from puppyhood to adulthood, socialization classes, and individual in-home training.",https://doggie.sk/wp-content/uploads/2026/07/obrazok-cviciska-na-hlavnej-stranke-doggie.png,,,,,2026-09-25,"Dog training school offering puppy socialization, obedience and problem behavior consults.","Výcviková škola pre psov ponúkajúca výchovu šteniat, poslušnosť a nápravu správania.",
ERPOL – Výcvik psov Bratislava,training,"Lipského 15, 841 01 Bratislava",dubravka,+421 902 910 700,info@psivycvik.sk,https://psivycvik.sk,dog,https://psivycvik.sk,2026-09-20,Výchova a výcvik mestských psov v reálnom mestskom prostredí; no Google rating: <5 reviews,48.180644,17.051078,"Dog training center in Dúbravka specializing in urban dog education and obedience in real city environments. Conducts puppy classes, basic obedience, and individual handling sessions.",,,,,,2026-09-25,Urban dog obedience courses and puppy education conducted directly in real city settings.,Výcvik základnej poslušnosti a výchova šteniat v reálnom mestskom prostredí bez nátlaku.,
Športový klub policajnej kynológie (ŠKPK),training,"Agátová 10/A, 841 01 Bratislava",dubravka,+421 917 173 665,fero69@cvicimepsov.sk,https://www.cvicimepsov.sk,dog,https://www.cvicimepsov.sk,2026-09-20,"Kynologické výcvikové stredisko v Dúbravke (kurzy pre šteňatá, poslušnosť, obrana)",48.202915,17.028003,Cynological training center in Dúbravka offering structured dog training for all breeds. Courses range from puppy socialization to advanced obedience and sports cynology.,https://cvicimepsov.sk/wp-content/uploads/2026/02/Hero.jpg;https://cvicimepsov.sk/wp-content/uploads/2026/02/slider-basic1-edited.jpg;https://cvicimepsov.sk/wp-content/uploads/2026/02/slider-advanced1.jpg,ChIJveCEY5qMbEcR_W0rC__Rv6o,https://maps.google.com/?cid=12303783600333745661,4.6,35,2026-09-25,"Cynological training center offering puppy socialization, obedience and sports dog training.","Kynologické stredisko ponúkajúce výchovu šteniat, poslušnosť a športový výcvik psov.",
Kynologický klub Staré ihrisko (KKSI),training,"Príjazdná 18, 831 07 Bratislava",raca,+421 905 700 968,vycvik@kksi.sk,http://www.kksi.sk,dog,http://www.kksi.sk,2026-09-20,"Kynologické cvičisko a klub v Rači (kurzy základnej poslušnosti, športová kynológia, rally obedience)",48.196302,17.208854,Dog training club and training ground in Rača organizing regular obedience classes and rally obedience courses for dogs of all breeds.,,ChIJP3OSjUCObEcRV69kyURhg1o,https://maps.google.com/?cid=6522163633427099479,4.7,14,2026-09-25,"Dog training club offering basic obedience, puppy training, tracking and rally obedience.","Kynologický klub ponúkajúci kurzy základnej poslušnosti, stopy a rally obedience.",kynologicky-klub-stare-ihrisko-kksi.png
Klub športovej kynológie 1 (KŠK 1),training,"Vápencová ulica, 841 07 Bratislava",devinska-nova-ves,+421 910 954 417,v.barbirikova@gmail.com,https://ksk1.eu,dog,https://ksk1.eu,2026-09-20,Cvičisko a kynologický klub v Devínskej Novej Vsi (základná poslušnosť a športová kynológia); no Google rating: <5 reviews,48.214579,16.976841,"Cynological sports club based in Devínska Nová Ves. Focuses on basic and advanced dog training, defense, tracking, and sports cynology preparation.",https://www.ksk1.eu/wp-content/uploads/2022/10/IMG3H.webp;https://www.ksk1.eu/wp-content/uploads/2022/10/IMG4H.webp;https://www.ksk1.eu/wp-content/uploads/2022/10/IMG5H.webp;https://www.ksk1.eu/wp-content/uploads/2022/10/IMG6H.webp,,,,,2026-09-25,Sports cynology and basic dog obedience training center with tracking and defense work.,"Klub športovej kynológie so zameraním na základnú poslušnosť, pachové práce a obranu.",
Kynologický klub Lamač,training,"Bakošova 4549/46, 841 03 Bratislava",lamac,+421 905 345 675,,https://www.vycvikpsovbratislava.sk,dog,https://www.vycvikpsovbratislava.sk,2026-09-20,Kynologické cvičisko v Lamači (kurzy poslušnosti a športový výcvik); no Google rating: <5 reviews,48.200536,17.046587,"Dog training facility in Lamač operating since 2004. Offers playful puppy courses, basic obedience classes, and problem behavior rehabilitation.",https://www.vycvikpsovbratislava.sk/wp-content/uploads/2023/01/slider2.webp,,,,,2026-09-25,Dog training grounds offering playful puppy courses and basic obedience classes.,Kynologické cvičisko ponúkajúce hravé kurzy pre šteniatka a výcvik základnej poslušnosti.,
