name,address,district,phone,email,website,animals,source_url,observed_at,notes,lat,lng,description,photo_urls,google_place_id,google_maps_url,google_rating,google_rating_count,rating_observed_at,short_description,short_description_sk,logo_file
Petrooms - Hotel pre mačky,"Mierová 62, 821 05 Bratislava",ruzinov,+421 949 250 242,petrooms.sk@gmail.com,https://petrooms.sk,cat,https://petrooms.sk/kontakt/,2026-09-20,Hotel pre mačky s ubytovaním v samostatných izbách,48.149359,17.173807,"Specialized cat hotel in Ružinov offering cage-free accommodation in individual private rooms. Designed to minimize feline stress in a quiet, dedicated environment.",https://petrooms.sk/wp-content/uploads/2026/03/66e7d4ecda5b58c7fbf60ab0850207cee72b12d8.jpg,,,5.0,8,2026-09-25,Cage-free cat boarding in individual private rooms with climbing walls.,Bezklietkový hotel pre mačky v samostatných izbičkách s preliezkami.,
CeziVET - Hotel pre mačky,"Karpatská 13, 811 05 Bratislava",stare-mesto,+421 948 941 388,cezivet@gmail.com,https://www.cezivet.sk,cat,https://www.cezivet.sk/hotel-pre-macky/,2026-09-20,Felínna veterinárna ambulancia s hotelom pre mačky v Starom Meste,48.158071,17.113552,Feline-focused veterinary clinic and cat hotel located on Karpatská street in Staré Mesto. Provides peaceful boarding with professional veterinary oversight on site.,https://www.cezivet.sk/_astro/cezar.B1DzCgG8_Z19aVH2.jpg;https://www.cezivet.sk/_astro/zvierata.UGhcR3Yx_2dJSEM.png,,,4.9,90,2026-09-25,Quiet feline hotel and clinic with individual rooms and vet supervision.,Kľudný hotel pre mačky s individuálnymi izbami a veterinárnym dohľadom.,cezivet-hotel-pre-macky.svg
Salón a hotel pre psov Havko,"Jegenešská 11273/3, 821 06 Bratislava",podunajske-biskupice,+421 905 162 866,salonhavko@gmail.com,https://salonhavko.sk,dog,https://salonhavko.sk,2026-09-20,"Celoročné ubytovanie, škôlka a salón pre psov",48.118238,17.212239,"Dog hotel and salon in Podunajské Biskupice operating since 2011. Offers year-round indoor boarding for dogs of all breeds, daycare, and full grooming services.",https://salonhavko.sk/ws/media-library/ffedb88795f6ee7a01135bf704715530/pes-v-pelechu.png;https://salonhavko.sk/ws/media-library/9131b2a2e39f1f30d55cdc03ac4ff55a/e8a043_75e58c7a6a8a48b88432be68bb8647d0mv2-1.jpg,,,4.5,29,2026-09-25,"Year-round indoor dog hotel, daycare, and full coat grooming services.","Celoročný interiérový hotel pre psov, denná škôlka a úprava srsti.",
DogHotel,"Ivanská cesta 89, 821 04 Bratislava",ruzinov,+421 905 124 325,info@doghotel.sk,https://www.doghotel.sk,dog,https://www.doghotel.sk,2026-09-20,Nízkokapacitný hotel pre psov s kynologickým dohľadom a výcvikom,48.168142,17.190476,"Boutique low-capacity dog hotel in Ružinov providing supervised boarding, daycare, and obedience training in a calm home environment.",https://www.doghotel.sk/wp-content/uploads/2025/02/DOGHOTEL-FB-4.png;https://www.doghotel.sk/wp-content/uploads/2025/02/DOGHOTEL-FB-5.png,,,4.9,155,2026-09-25,Low-capacity home dog hotel and daycare with personalized care and walks.,Komorný domáci psí hotel a denná škôlka s individuálnou starostlivosťou.,doghotel.png
DEWEN Dog Hotel,"Mlynská cesta (Devínske jazero), 841 07 Bratislava",,+421 917 661 765,doghotel@dewen.sk,http://www.dewen.sk,dog,http://www.dewen.sk/kontakt.htm,2026-09-20,"Hotel a škôlka pre psov rodinného typu bez kotercov v prírodnom prostredí (GPS: 48.262218, 16.964697); presný mestský obvod neistý, adresa v okolí Devínskeho jazera",48.158232,17.076545,"Family-run dog hotel providing kennel-free boarding for small and medium dog breeds in a natural environment. Services include basic training, reconditioning stays, and pet transport.",,,,4.5,117,2026-09-25,"Cage-free dog boarding with large outdoor runs, basic training, and daycare.","Bezklietkový psí hotel s veľkými výbehmi, základným výcvikom a škôlkou.",
Dunčovňa,"Hrachová 41, 821 05 Bratislava",ruzinov,+421 908 893 398,duncovna@gmail.com,https://www.duncovna.sk,dog,https://www.duncovna.sk,2026-09-20,Denná škôlka a nočný bezklietkový psí hotel v Ružinove,48.145182,17.182553,"Daycare and cage-free overnight dog hotel in Ružinov with a maximum capacity of 20 dogs. Offers personalized attention, structured daily schedules, and supervised play.",,,,4.7,184,2026-09-25,Cage-free dog daycare and hotel with structured daily activities and walks.,Bezklietková psia škôlka a hotel so štruktúrovaným programom a prechádzkami.,duncovna.png
TLAPKY - Zvieracia družina,"Výtvarná 15, 821 06 Bratislava",vrakuna,+421 948 733 073,zvieraciadruzina@gmail.com,https://www.tlapky.sk,dog,https://www.tlapky.sk,2026-09-20,Psí hotel a škôlka v rodinnom dome s oplotenou záhradou,48.133573,17.218204,"Dog hotel and daycare based in a family home with a fenced garden in Vrakuňa. Focuses on socialization, active outdoor play, and attentive personal care.",,,,4.9,139,2026-09-25,Family home dog hotel and daycare with a large fenced garden and play.,Rodinný hotel a denná škôlka pre psy s oplotenou záhradou a voľným výbehom.,tlapky-zvieracia-druzina.png
Dogtrainer – Peter Peller,"Sabinovská 5, 821 02 Bratislava",ruzinov,+421 948 262 713,bratislava@dogtrainer.sk,https://www.dogtrainer.sk,dog,https://www.dogtrainer.sk,2026-09-20,Kynologické centrum s ponukou výcviku a hotelového ubytovania pre psov,48.161942,17.147856,"Cynological training center and dog boarding facility in Ružinov. Provides professional obedience training, problem behavior modification, and hotel boarding.",https://www.dogtrainer.sk/wp-content/uploads/2024/05/Krmenie-hygiena.webp;https://www.dogtrainer.sk/wp-content/uploads/2024/06/Hierarchia-1.webp;https://www.dogtrainer.sk/wp-content/uploads/2024/06/Problemove-spravanie-Image.webp;https://www.dogtrainer.sk/wp-content/uploads/2024/06/Poslusnost-1.webp,,,,,2026-09-25,Dog boarding combined with obedience training and problem behavior coaching.,Ubytovanie psov spojené s výcvikom poslušnosti a nápravou správania.,dogtrainer-peter-peller.png
PohoDOG Team,"Janotova 14, 841 04 Bratislava",karlova-ves,+421 903 371 151,info@pohodog.sk,https://www.pohodog.sk,dog,https://www.pohodog.sk/kontakt/,2026-09-20,Domáci psí hotel a škôlka v Karlovej Vsi a Vlčom hrdle,48.150273,17.057171,"Home-style dog boarding and daycare service in Karlova Ves. Features cage-free family environment, training support, and dog walking in small groups.",https://www.pohodog.sk/wp-content/uploads/2024/01/FB_IMG_1704711384903-768x1024.jpg;https://www.pohodog.sk/wp-content/uploads/2024/02/trio1.jpeg,,,5.0,12,2026-09-25,Individual dog boarding accommodating pets from only one family at a time.,"Individuálny domáci hotel pre psov, naraz len pre psíkov z jednej rodiny.",pohodog-team.png
Zvieratkovo Rača,"Mrázová 16, 831 06 Bratislava",raca,+421 905 589 956,sona@zvieratkovoraca.sk,https://www.zvieratkovo-raca.sk,dog;cat,https://www.zvieratkovo-raca.sk/kontakt/,2026-09-20,Privátny bezklietkový hotel pre psy a mačky v rodinnom dome so záhradou,48.204093,17.152434,Private cage-free pet hotel in Rača set in a family home with a garden. Accommodates both dogs and cats with individual attention in a comfortable home setting.,,,,4.8,101,2026-09-25,Cage-free family house boarding and garden runs for dogs and cats.,Bezklietkové rodinné ubytovanie psov a mačiek v dome so záhradou.,zvieratkovo-raca.png
