salon_name,price_code,size_class,price_from,price_to,currency,source_url,observed_at,notes
Psí salón Veselá Labka - Ružinov,full_groom,MINI,40.00,40.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava pes do 5 kg (od 40 €)
Psí salón Veselá Labka - Ružinov,full_groom,SMALL,50.00,50.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava pes od 5-15 kg (od 50 €)
Psí salón Veselá Labka - Ružinov,full_groom,MEDIUM,60.00,60.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava pes od 15-25 kg (od 60 €)
Psí salón Veselá Labka - Ružinov,bath_dry,MINI,27.00,27.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie malý pes do 5 kg (od 27 € / 60 min)
Psí salón Veselá Labka - Ružinov,bath_dry,SMALL,35.00,35.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie stredný pes 5-15 kg (od 35 € / 90 min)
Psí salón Veselá Labka - Ružinov,bath_dry,MEDIUM,45.00,45.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie veľký pes 15-25 kg (od 45 € / 120 min)
Psí salón Veselá Labka - Ružinov,hand_stripping,,25.00,25.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Trimovanie: každá začatá hodina 25 €
Psí salón Veselá Labka - Petržalka,full_groom,MINI,40.00,40.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava malý pes (od 40 €)
Psí salón Veselá Labka - Petržalka,full_groom,SMALL,50.00,50.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava stredný pes (od 50 €)
Psí salón Veselá Labka - Petržalka,full_groom,MEDIUM,60.00,60.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kompletná úprava veľký pes (od 60 €)
Psí salón Veselá Labka - Petržalka,bath_dry,MINI,20.00,20.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie malý pes (od 20 €)
Psí salón Veselá Labka - Petržalka,bath_dry,SMALL,25.00,25.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie stredný pes (od 25 €)
Psí salón Veselá Labka - Petržalka,bath_dry,MEDIUM,30.00,30.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Kúpanie veľký pes (od 30 €)
Psí salón Veselá Labka - Petržalka,hand_stripping,,25.00,25.00,EUR,https://veselalabka.sk/sk/cennik,2026-09-20,Trimovanie: 25 € za hodinu
Dog Culture,bath_dry,SMALL,34.00,34.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Kúpanie & česanie (veľkosť S)
Dog Culture,full_groom,SMALL,54.00,54.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Strihanie & kúpanie (veľkosť S)
Dog Culture,hand_stripping,SMALL,64.00,64.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Trímovanie & kúpanie (veľkosť S)
Dog Culture,bath_dry,MEDIUM,44.00,44.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Kúpanie & česanie (veľkosť M)
Dog Culture,full_groom,MEDIUM,64.00,64.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Strihanie & kúpanie (veľkosť M)
Dog Culture,hand_stripping,MEDIUM,74.00,74.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Trímovanie & kúpanie (veľkosť M)
Dog Culture,bath_dry,LARGE,54.00,54.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Kúpanie & česanie (veľkosť L)
Dog Culture,full_groom,LARGE,74.00,74.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Strihanie & kúpanie (veľkosť L)
Dog Culture,hand_stripping,LARGE,94.00,94.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Trímovanie & kúpanie (veľkosť L)
Dog Culture,bath_dry,XL,74.00,74.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Kúpanie & česanie (veľkosť XL)
Dog Culture,full_groom,XL,94.00,94.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Strihanie & kúpanie (veľkosť XL)
Dog Culture,hand_stripping,XL,104.00,104.00,EUR,https://dogculture.sk/#cennik,2026-09-20,Trímovanie & kúpanie (veľkosť XL)
Psí salón Zuzana,full_groom,SMALL,43.00,43.00,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kompletná úprava: malý pes do 8 kg (od 43 €)
Psí salón Zuzana,full_groom,MEDIUM,48.00,48.00,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kompletná úprava: stredný pes do 20 kg (od 48 €)
Psí salón Zuzana,full_groom,LARGE,65.00,65.00,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kompletná úprava: veľký pes nad 20 kg (od 65 €)
