name,address,district,phone,email,website,animals,source_url,observed_at,notes,lat,lng,description,photo_urls,google_place_id,google_maps_url,google_rating,google_rating_count,rating_observed_at,short_description,short_description_sk,logo_file
Psí salón Veselá Labka - Ružinov,"Ružinovská 1/4814, 821 02 Bratislava",ruzinov,+421 903 494 000,info@veselalabka.sk,https://veselalabka.sk/sk/salony/bratislava-ruzinov,dog,https://veselalabka.sk/sk/salony/bratislava-ruzinov,2026-09-20,no Google rating: network branch without separate card (<5 reviews),48.158972,17.175269,Pet grooming salon located within the SpektraVet veterinary clinic premises on Ružinovská street in Ružinov. Offers full dog grooming services alongside teeth cleaning and general health checks.,https://veselalabka.sk/uploads/l1000/vl-ruzinov-3.jpg;https://veselalabka.sk/uploads/vl-ruzinov-1.jpg;https://veselalabka.sk/uploads/vl-ruzinov-4.jpg;https://veselalabka.sk/uploads/vl-ruzinov-5.jpg,,,,,2026-09-25,"Complete dog grooming, bathing, coat trimming, and ultrasonic teeth cleaning.","Kompletná úprava srsti psov, kúpanie, strihanie a ultrazvukové čistenie zubov.",
Psí salón Veselá Labka - Petržalka,"Mánesovo námestie 7, 851 01 Bratislava",petrzalka,+421 220 512 097,info@veselalabka.sk,https://veselalabka.sk/sk/salony/bratislava-petrzalka,dog,https://veselalabka.sk/sk/salony/bratislava-petrzalka,2026-09-20,Vstup z Farského ulice; v priestoroch kliniky EasyVet,48.128614,17.110867,Pet grooming salon located inside the EasyVet veterinary clinic at Mánesovo námestie in Petržalka. Provides grooming services with the convenience of veterinary consultations on site.,https://veselalabka.sk/uploads/l1000/easyvet-1.jpg;https://veselalabka.sk/uploads/vet-1.jpeg;https://veselalabka.sk/uploads/vet-2.jpg;https://veselalabka.sk/uploads/ev-3.jpg,ChIJ_Z0QmmWPbEcRCq9nDgSQHuk,https://maps.google.com/?cid=16798022007234473738,4.6,28,2026-09-25,"Full dog grooming, bathing, breed haircuts, and ultrasonic teeth cleaning.","Kompletná úprava srsti psov, kúpanie, strihanie plemien a čistenie zubov.",
Dog Culture,"Prievozská 32, 821 05 Bratislava",ruzinov,+421 903 511 410,info@dogculture.sk,https://dogculture.sk,dog,https://dogculture.sk,2026-09-20,no Google rating: <5 reviews,48.148045,17.152321,"Dog salon founded in 2017 in Ružinov providing grooming and wellness care for dogs. Services include breed trims, bathing, massages, and ozone spa treatments.",,,,,,2026-09-25,"Dog grooming, bathing, breed styling, and ozone spa therapy.","Úprava a strihanie psov, kúpanie, rozčesávanie a ozónoterapia.",dog-culture.png
Psí salón Zuzana,"Rezedová 5, 821 01 Bratislava",ruzinov,+421 905 556 451,zuzana10jassova@gmail.com,https://salon-pre-psov.sk,dog,https://salon-pre-psov.sk,2026-09-20,,48.152249,17.161227,"Dog grooming salon on Rezedová street in Ružinov providing coat care, haircuts, and bathing based on years of grooming and dog rescue experience.",,ChIJx-7BxHWJbEcRJw2ZkJ3lc_U,https://maps.google.com/?cid=17686732626512645415,4.8,24,2026-09-25,"Dog haircutting, bathing, coat detangling, and gentle claw care.","Strihanie a kúpanie psov, rozčesávanie splstnatených chlpov a pazúriky.",
Psí salón My Champ,"Jurigovo námestie 5, 841 04 Bratislava",karlova-ves,+421 944 342 284,,https://mychamp.sk,dog,https://mychamp.sk,2026-09-20,E-mail na webe neuvedený; kontakt telefonicky,48.151069,17.060702,"Dog grooming salon in Karlova Ves catering to dogs of all sizes. Specializes in customized haircutting, stress-free handling, and natural cosmetics.",,ChIJ4QD2gsaLbEcRIbduX0HAaXI,https://maps.google.com/?cid=8244331979884902177,4.5,56,2026-09-25,"Grooming for dogs of all sizes with haircuts, baths, and natural cosmetics.","Úprava psov všetkých veľkostí, strihanie, kúpanie a prírodná kozmetika.",
Psí salón Trim štúdio,"Trhová 50, 841 01 Bratislava",dubravka,+421 910 990 313,askrzekova@gmail.com,https://trimstudio.sk,dog;cat,https://trimstudio.sk/kontakt/,2026-09-20,Salón ponúka úpravu psov aj mačiek,48.187896,17.038923,"Dog grooming salon in Dúbravka offering complete hairdressing and cosmetic care for dogs of all breeds, as well as cats and rabbits. Services include trimming, bathing, brushing, and styling.",https://trimstudio.sk/wp-content/uploads/2016/03/slider2.jpg,ChIJcQiBIuGLbEcRgEKJfp98KeA,https://maps.google.com/?cid=16152578563005563520,4.5,29,2026-09-25,"Grooming and bathing for dogs and cats, hand stripping, and whirlpool baths.","Strihanie a kúpanie psov aj mačiek, trimovanie a perličkové kúpele.",psi-salon-trim-studio.png
Salón pre psov Terra,"Hany Meličkovej 43, 841 05 Bratislava",karlova-ves,+421 950 873 641,,https://www.salonterra.sk,dog,https://www.salonterra.sk,2026-09-20,E-mail na webe neuvedený; kontakt telefonicky alebo WhatsApp,48.150937,17.051171,"Dog grooming salon located on Hany Meličkovej in Karlova Ves. Provides professional dog haircutting, bathing, brushing, spa treatments, and ozone therapy.",,ChIJq_cQCiqLbEcRCBDm-nH4BBs,https://maps.google.com/?cid=1946954107355271176,4.8,117,2026-09-25,"Dog haircuts, bathing, coat recovery packs, and hydromassage ozone spa.","Strihanie psov, kúpanie, regeneračné zábaly a ozónový hydromasážny kúpeľ.",salon-pre-psov-terra.webp
Laura - salón pre psov,"Námestie Hraničiarov 18, 851 01 Bratislava",petrzalka,+421 944 240 116,,https://laurasalon.sk,dog,https://laurasalon.sk,2026-09-20,E-mail na webe neuvedený; objekt TS-618 za č. 18 (navigácia Osuského 7); objednávky telefonicky alebo osobne,48.120251,17.117542,"Dog grooming salon in Petržalka with over 30 years of grooming experience. Offers gentle, high-quality coat care and styling for pet companions.",,ChIJazC9yAmJbEcRKnq3L0Jev74,https://maps.google.com/?cid=13744808226119449130,4.6,124,2026-09-25,"Dog coat styling, breed haircuts, bathing, and gentle detangling.","Strihanie a úprava psov podľa štandardu, kúpanie a rozčesávanie srsti.",laura-salon-pre-psov.png
Salón pre psov Labku na to,"Čiernovodská 6, 821 07 Bratislava",vrakuna,+421 904 666 181,,https://labkunato.sk,dog,https://labkunato.sk,2026-09-20,E-mail na webe neuvedený; kontakt telefonicky alebo cez Facebook,48.139957,17.209653,"Dog grooming salon in Vrakuňa providing tailored coat care, bathing, brushing, therapeutic wraps, and breed-standard or owner-requested haircuts.",https://labkunato.sk/fotky/bcg.jpg;https://labkunato.sk/fotky/pes1.jpeg,ChIJtUBjOQKGbEcR5h8e2kqOHNg,https://maps.google.com/?cid=15572478063678463974,4.7,67,2026-09-25,"Dog styling, bathing, coat detangling, and therapeutic mud wraps.","Strihanie psov, kúpanie, rozčesávanie srsti a terapeutické bahenné zábaly.",
Dog's Beauty & Wellness,"Mánesovo námestie 1230/1, 851 01 Bratislava",petrzalka,+421 948 995 901,andrea@dogsbeauty.sk,https://dogsbeauty.sk,dog,https://dogsbeauty.sk,2026-09-20,no Google rating: <5 reviews,48.12853,17.113334,"Pet wellness and grooming salon in Petržalka specializing in comprehensive coat care. Offers haircuts, brushing, aromatherapy, hydromassage, and ozone therapy.",https://dogsbeauty.sk/wp-content/uploads/2026/04/dogsbeauty-ozonoterapia-proti-plznutiu-1024x858.png;https://dogsbeauty.sk/wp-content/uploads/2022/04/dogsbeautyaromaterapia.jpg;https://dogsbeauty.sk/wp-content/uploads/2026/04/dogsbeauty-ozonoterapia-proti-koznycm-ochoreniam-1024x858.png,,,,,2026-09-25,"Dog grooming, bathing, aromatherapy, ozone spa therapy, and hydromassage.","Strihanie psov, kúpanie, aromaterapia, ozónová terapia a hydromasáž.",dogs-beauty-wellness.png
