name,address,district,phone,email,website,source_url,observed_at,notes,lat,lng,description,photo_urls,google_place_id,google_maps_url,google_rating,google_rating_count,rating_observed_at,short_description,short_description_sk,logo_file
SIBRA centrum veterinárnej medicíny,"Na vrátkach 13, 841 01 Bratislava",dubravka,+421 2 6446 1794,klinika@sibra.sk,https://www.sibra.sk,https://www.sibra.sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions,48.191945,17.043282,"Modern veterinary hospital and clinic in Dúbravka equipped for complex medical cases. Provides comprehensive care including computed tomography (CT), specialized diagnostics, and inpatient hospitalization.",,ChIJiQWKN5OMbEcRYOmhS3CyOwI,https://maps.google.com/?cid=160918407076768096,4.7,600,2026-09-25,"Veterinary hospital providing CT diagnostics, surgery, neurology, and inpatient hospitalization.","Veterinárna nemocnica s CT diagnostikou, chirurgiou, neurológiou a lôžkovou hospitalizáciou.",
Vetline Veterinárna nemocnica,"Staromestská 6/D, 811 03 Bratislava",stare-mesto,+421 2 5441 2869,info@vetline.sk,https://vetline.sk,https://vetline.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.146679,17.104593,"Veterinary hospital in Staré Mesto with 24/7 emergency service, in-house laboratory, endoscopy, and CT diagnostics situated in a modern 600 m² facility.",https://vetline.sk/hero-blinking.jpg,ChIJ_WO4d1yJbEcRyJBBN_xTRWY,https://maps.google.com/?cid=7369388707985592520,4.3,526,2026-09-25,"Veterinary hospital offering 24/7 emergency care, in-house laboratory, and advanced CT diagnostics.","Veterinárna nemocnica s nepretržitou pohotovosťou 24/7, vlastným laboratóriom a CT diagnostikou.",
Marfilvet veterinárna nemocnica,"Hodonínska 16, 841 03 Bratislava",lamac,+421 911 555 055,info@marfilvet.sk,https://marfilvet.sk,https://www.marfilvet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions,48.19176,17.047068,"Veterinary hospital in Lamač providing comprehensive care, emergency service, modern diagnostic equipment, and surgical facilities operating since 2000.",https://marfilvet.sk/wp-content/uploads/2026/04/Preventivna-prehliadka-Marfilvet.png,ChIJDzxqFYiMbEcRZwxndrTW5bY,https://maps.google.com/?cid=13179175955138546791,4.2,372,2026-09-25,"Comprehensive emergency care, computed tomography, endoscopy, and specialized surgical facilities.","Pohotovostná starostlivosť, CT vyšetrenia, endoskopia a špecializované chirurgické zákroky.",marfilvet-veterinarna-nemocnica.png
VetPoint veterinárna klinika,"Panónska cesta 38/A, 851 04 Bratislava",petrzalka,+421 948 029 674,vetpoint@anicura.sk,https://www.vetpoint.sk,https://www.vetpoint.sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions,48.1068,17.095022,"Specialized small-animal veterinary hospital and referral center in Petržalka focusing on veterinary surgery, orthopedics, feline medicine, and clinical oncology.",,ChIJEXA6nZeJbEcR5dMe1LVMRcU,https://maps.google.com/?cid=14214852142696420325,4.2,397,2026-09-25,"Specialized veterinary hospital focused on surgery, orthopedics, feline medicine, and oncology.","Špecializovaná klinika so zameraním na chirurgiu, ortopédiu, felínnu medicínu a onkológiu.",
Veterinárna nemocnica BENNETT,"Lamačská cesta 53, 841 03 Bratislava",lamac,+421 907 824 196,bennett.nemocnica@gmail.com,https://bennett.sk,https://bennett.sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions,48.180942,17.055837,"Specialized veterinary hospital in Lamač operating since 2000. Features advanced facilities for orthopedics, laparoscopy, MRI, CT diagnostics, and canine hydrotherapy.",,ChIJI1vDZlKJbEcRbWWUOQIxbdA,https://maps.google.com/?cid=15018714217976194413,4.2,355,2026-09-25,"Advanced referral center offering orthopedics, gait laboratory, laparoscopy, and MRI diagnostics.","Pracovisko zamerané na ortopédiu, analýzu chôdze, laparoskopické operácie a vyšetrenia MRI.",veterinarna-nemocnica-bennett.svg
Veterinárna klinika PrimaVet,"Rustaveliho 11, 831 06 Bratislava",raca,+421 2 2051 2095,info@primavet.sk,https://www.primavet.sk,https://www.primavet.sk/sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions,48.21398,17.156461,"Veterinary clinic and emergency hospital in Rača equipped with modern diagnostics, laboratory facilities, and surgical suites with emergency on-call hours until midnight.",https://www.primavet.sk/assets/images/primavet-17.jpg;https://www.primavet.sk/assets/images/primavet-15.jpg;https://www.primavet.sk/assets/images/primavet-14.jpg;https://www.primavet.sk/assets/images/primavet-16.jpg,ChIJ2-HokWyObEcRgq7x2JbEU88,https://maps.google.com/?cid=14939500541081923202,4.4,400,2026-09-25,"Emergency clinic with digital X-ray, in-house laboratory facilities, and a dedicated cat room.","Pohotovostná klinika s digitálnym RTG, vlastným laboratóriom a oddelenou čakárňou pre mačky.",
Veterinárna klinika BullyPet,"Odborárske námestie 4, 811 07 Bratislava",stare-mesto,+421 903 700 212,info@bullypetklinika.sk,https://veterinarbratislava.sk,https://veterinarbratislava.sk/#kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions,48.152265,17.1201,"Established in 1992 on Odborárske námestie in Staré Mesto, BullyPet is one of Bratislava's longest-running veterinary clinics, offering internal medicine, soft-tissue surgery, and diagnostics.",https://veterinarbratislava.sk/wp-content/uploads/2022/11/1-1024x683.jpeg;https://veterinarbratislava.sk/wp-content/uploads/2022/11/2-1024x697.jpeg;https://veterinarbratislava.sk/wp-content/uploads/2022/11/3-1024x683.jpeg;https://veterinarbratislava.sk/wp-content/uploads/2022/11/interna-medicina-300x200.png,ChIJDYbYKkmJbEcR7HrrGSnX4sg,https://maps.google.com/?cid=14475368723850689260,4.7,270,2026-09-25,"Established veterinary clinic offering internal medicine, soft-tissue surgery, and diagnostics.","Veterinárna prax poskytujúca internú medicínu, chirurgiu mäkkých tkanív a zobrazovaciu diagnostiku.",
Veterinárna poliklinika BAJVET,"Bajzova 4, 821 08 Bratislava",ruzinov,+421 910 313 301,bajvet@bajvet.sk,https://www.bajvet.sk,https://www.bajvet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions,48.159328,17.138311,Veterinary polyclinic on Bajkalská in Ružinov providing comprehensive medical care from preventative examinations to soft-tissue and orthopedic surgeries.,https://www.bajvet.sk/wp-content/uploads/2026/05/bajvet-about-sablona-1024x914.png,ChIJp4vxeMuObEcRjaEIJqOp0Bw,https://maps.google.com/?cid=2076345946400661901,4.5,326,2026-09-25,"Veterinary polyclinic offering preventative medicine, soft-tissue, and orthopedic surgeries.",Veterinárna poliklinika poskytujúca preventívnu medicínu a operácie mäkkých i tvrdých tkanív.,
EasyVet veterinárna klinika,"Mánesovo námestie 7, 851 01 Bratislava",petrzalka,+421 2 2051 2097,info@easyvet.sk,https://www.easyvet.sk,https://www.easyvet.sk/sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions,48.128614,17.110867,"Modern veterinary clinic in Petržalka on Mánesovo námestie offering preventative medicine, digital radiography, ultrasonography, soft-tissue surgery, and an on-site grooming salon.",https://www.easyvet.sk/assets/images/easyvet-09.jpg;https://www.easyvet.sk/assets/images/easyvet-08.jpg;https://www.easyvet.sk/uploads/ev-4.jpg;https://www.easyvet.sk/uploads/foto-15.jpg,ChIJ42C0W4WJbEcRiXTAVnj4Rvg,https://maps.google.com/?cid=17890259765511091337,4.4,96,2026-09-25,"Modern veterinary clinic with digital X-ray, ultrasonography, soft-tissue surgery, and grooming.","Moderná veterinárna klinika s digitálnym RTG, ultrazvukom, chirurgiou a salónom pre psov.",
MyPet Clinic,"Mierová 27, 821 05 Bratislava",ruzinov,+421 2 22 113 113,mypet@mypet.sk,https://www.mypet.sk,https://www.mypet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions,48.149664,17.1679,"Modern veterinary clinic on Mierová street in Ružinov equipped with digital X-ray, in-house laboratory, surgery, and dedicated client parking. Provides complete preventative and emergency care.",https://www.mypet.sk/wp-content/uploads/2024/09/mypet_clinic-18-2.jpg;https://www.mypet.sk/wp-content/uploads/2025/08/mypet_clinic-8-1.jpg;https://www.mypet.sk/wp-content/uploads/2025/08/mypet_clinic-80-1.jpg,ChIJfbqWO3eJbEcRQw4xAVcBjFg,https://maps.google.com/?cid=6380476245270924867,4.7,133,2026-09-25,"Full-service animal clinic equipped with digital radiography, in-house laboratory, and parking.","Komplexná veterinárna starostlivosť s digitálnym RTG, vlastným laboratóriom a parkovaním.",
