clinic_name,service,species,weight_from_kg,weight_to_kg,price_from,price_to,currency,source_url,observed_at,notes
SIBRA centrum veterinárnej medicíny,exam,,,,21,21,EUR,https://www.sibra.sk/cennik/zakladne-ukony,2026-09-25,Konzultácia bez iného výkonu do 30 min. (21 € s DPH)
SIBRA centrum veterinárnej medicíny,pet_passport,,,,35.80,35.80,EUR,https://www.sibra.sk/cennik/zakladne-ukony,2026-09-25,"Vystavenie pasu s registráciou, pas (35,80 € s DPH)"
SIBRA centrum veterinárnej medicíny,emergency_fee,,,,55,55,EUR,https://www.sibra.sk/cennik/zakladne-ukony,2026-09-25,Nočná hospitalizácia (55 € s DPH)
SIBRA centrum veterinárnej medicíny,vaccination_rabies,,,,56.20,56.20,EUR,https://www.sibra.sk/cennik/vakcinacie,2026-09-25,"Besnota so zápisom do CRSZ (56,20 € s DPH, interval raz za 3 roky)"
SIBRA centrum veterinárnej medicíny,vaccination_rabies,cat,,,45.70,45.70,EUR,https://www.sibra.sk/cennik/vakcinacie,2026-09-25,"Besnota – mačka, fretka (45,70 € s DPH)"
SIBRA centrum veterinárnej medicíny,vaccination_combo,dog,,,56.60,,EUR,https://www.sibra.sk/cennik/vakcinacie,2026-09-25,"Infekčné ochorenia – pes (od 56,60 € s DPH; psinka, parvoviróza, hepatitída, parainfluenza, leptospiróza)"
SIBRA centrum veterinárnej medicíny,vaccination_combo,dog,,,70.60,,EUR,https://www.sibra.sk/cennik/vakcinacie,2026-09-25,"Kompletná vakcinácia – pes (+ proti besnote a zápisom do CRSZ, od 70,60 € s DPH)"
SIBRA centrum veterinárnej medicíny,vaccination_combo,cat,,,56.20,,EUR,https://www.sibra.sk/cennik/vakcinacie,2026-09-25,"Infekčné ochorenia – mačka (od 56,20 € s DPH; caliciviróza, panleukopénia, rhinotracheitída)"
SIBRA centrum veterinárnej medicíny,vaccination_combo,cat,,,73.80,,EUR,https://www.sibra.sk/cennik/vakcinacie,2026-09-25,"Kompletná vakcinácia – mačka (od 73,80 € s DPH)"
SIBRA centrum veterinárnej medicíny,castration,cat,,,150,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,Kastrácia kocúra (od 150 € s DPH)
SIBRA centrum veterinárnej medicíny,castration,dog,,,360,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,Kastrácia pes (od 360 € s DPH)
SIBRA centrum veterinárnej medicíny,sterilization,cat,,,178,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,Sterilizácia mačky (od 178 € s DPH)
SIBRA centrum veterinárnej medicíny,sterilization,dog,,,410,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,Sterilizácia sučky v inhalačnej anestézii (od 410 € s DPH)
SIBRA centrum veterinárnej medicíny,dental_cleaning,,,,220,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,"Ošetrenie parodontu, stomatologické vyšetrenie, bez RTG – zubný kameň, leštenie zubov (od 220 € s DPH)"
Vetline Veterinárna nemocnica,exam,dog,,,39.15,39.15,EUR,https://vetline.sk/sluzby/fyzioterapia,2026-09-25,"Ortopedické vyšetrenie – vstupné zhodnotenie pohybového aparátu (39,15 €)"
Vetline Veterinárna nemocnica,other,dog,,,27,,EUR,https://vetline.sk/sluzby/fyzioterapia,2026-09-25,"Hydroterapia, podvodný bežiaci pás – jedno sedenie, cena podľa hmotnosti psa (od 27 €)"
VetPoint veterinárna klinika,exam,,,,33,33,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,Klinické vyšetrenie polysystémové (33 €)
VetPoint veterinárna klinika,microchip,,,,10,10,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,Čipovanie + mikročip (10 €; registrácia/zmeny v CRSZ 25 €)
VetPoint veterinárna klinika,pet_passport,,,,30,30,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,Vystavenie petpasu + petpas (výsledná suma 30 €)
VetPoint veterinárna klinika,vaccination_rabies,,,,56,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Besnota* pes/mačka, fretka vrátane zápisu do CRSZ (od 56 €; Nobivac R na 3 roky)"
VetPoint veterinárna klinika,vaccination_combo,dog,,,60,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Infekčné choroby pes – psinka, parvoviróza, inf. hepatitída, parainfluenza, leptospiróza (od 60 €)"
VetPoint veterinárna klinika,vaccination_combo,dog,,,79,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Kompletná vakcinácia* pes – psinka, parvoviróza, hepatitída, parainfluenza, lepto + besnota (od 79 €)"
VetPoint veterinárna klinika,vaccination_combo,cat,,,70,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Infekčné choroby mačka – rhinotracheitída, caliciviróza, panleukopénia, chlamydióza (od 70 €)"
