name,category,address,district,phone,email,website,animals,source_url,observed_at,notes
Opatrovanie mačiek Bratislava (Adriana Tanková),sitting,"Bratislava (výjazdové opatrovanie u klienta doma)",,+421 944 222 436,adriana.tankova@gmail.com,https://opatrovaniemaciek.sk,cat,https://opatrovaniemaciek.sk,2026-09-20,"Profesionálne opatrovanie a návštevy mačiek priamo v domácnosti majiteľa v Bratislave; výjazdová služba bez fixného sídla, district neurčený zámerne"
Petme Bratislava,sitting,"Bratislava (pokrýva všetky mestské časti)",,,support@petme.social,https://petme.social,dog;cat,https://petme.social,2026-09-20,"Platforma sprostredkujúca overených opatrovateľov na venčenie psov a návštevy zvierat doma v Bratislave; pokrýva celé mesto, district neurčený zámerne"
PohoDOG Team – Venčenie a opatrovanie na doma,sitting,"Janotova 14, 841 04 Bratislava",karlova-ves,+421 903 371 151,info@pohodog.sk,https://www.pohodog.sk,dog,https://www.pohodog.sk,2026-09-20,Služby individuálneho venčenia a domáceho stráženia psov v Bratislave (Karlova Ves a Vlčie hrdlo)
Zvieratkovo Rača – Opatrovanie doma,sitting,"Mrázová 16, 831 06 Bratislava",raca,+421 905 589 956,sona@zvieratkovoraca.sk,https://www.zvieratkovo-raca.sk,dog;cat,https://www.zvieratkovo-raca.sk,2026-09-20,Výjazdové opatrovanie psov a mačiek priamo u majiteľa doma v Bratislave
Doggie – Výcviková škola,training,"Pod Vinicami 21, 811 02 Bratislava",stare-mesto,+421 902 244 244,doggie@doggie.sk,https://doggie.sk,dog,https://doggie.sk,2026-09-20,"Rodinná výcviková škola (kurzy poslušnosti, socializácia, individuálne tréningy v Bratislave)"
ERPOL – Výcvik psov Bratislava,training,"Lipského 15, 841 01 Bratislava",dubravka,+421 902 910 700,info@psivycvik.sk,https://psivycvik.sk,dog,https://psivycvik.sk,2026-09-20,Výchova a výcvik mestských psov v reálnom mestskom prostredí
Športový klub policajnej kynológie (ŠKPK),training,"Agátová 10/A, 841 01 Bratislava",dubravka,+421 917 173 665,fero69@cvicimepsov.sk,https://www.cvicimepsov.sk,dog,https://www.cvicimepsov.sk,2026-09-20,"Kynologické výcvikové stredisko v Dúbravke (kurzy pre šteňatá, poslušnosť, obrana)"
Kynologický klub Staré ihrisko (KKSI),training,"Príjazdná 18, 831 07 Bratislava",raca,+421 905 700 968,vycvik@kksi.sk,http://www.kksi.sk,dog,http://www.kksi.sk,2026-09-20,"Kynologické cvičisko a klub v Rači (kurzy základnej poslušnosti, športová kynológia, rally obedience)"
Klub športovej kynológie 1 (KŠK 1),training,"Vápencová ulica, 841 07 Bratislava",devinska-nova-ves,+421 910 954 417,v.barbirikova@gmail.com,https://ksk1.eu,dog,https://ksk1.eu,2026-09-20,Cvičisko a kynologický klub v Devínskej Novej Vsi (základná poslušnosť a športová kynológia)
Kynologický klub Lamač,training,"Bakošova 4549/46, 841 03 Bratislava",lamac,+421 905 345 675,,https://www.vycvikpsovbratislava.sk,dog,https://www.vycvikpsovbratislava.sk,2026-09-20,Kynologické cvičisko v Lamači (kurzy poslušnosti a športový výcvik)
