name,address,district,phone,email,website,animals,source_url,observed_at,notes
Petrooms - Hotel pre mačky,"Mierová 62, 821 05 Bratislava",ruzinov,+421 949 250 242,petrooms.sk@gmail.com,https://petrooms.sk,cat,https://petrooms.sk/kontakt/,2026-09-20,Hotel pre mačky s ubytovaním v samostatných izbách
CeziVET - Hotel pre mačky,"Karpatská 13, 811 05 Bratislava",stare-mesto,+421 948 941 388,cezivet@gmail.com,https://www.cezivet.sk,cat,https://www.cezivet.sk/hotel-pre-macky/,2026-09-20,Felínna veterinárna ambulancia s hotelom pre mačky v Starom Meste
Salón a hotel pre psov Havko,"Jegenešská 11273/3, 821 06 Bratislava",podunajske-biskupice,+421 905 162 866,salonhavko@gmail.com,https://salonhavko.sk,dog,https://salonhavko.sk,2026-09-20,"Celoročné ubytovanie, škôlka a salón pre psov"
DogHotel,"Ivanská cesta 89, 821 04 Bratislava",ruzinov,+421 905 124 325,info@doghotel.sk,https://www.doghotel.sk,dog,https://www.doghotel.sk,2026-09-20,Nízkokapacitný hotel pre psov s kynologickým dohľadom a výcvikom
DEWEN Dog Hotel,"Mlynská cesta (Devínske jazero), 841 07 Bratislava",,+421 917 661 765,doghotel@dewen.sk,http://www.dewen.sk,dog,http://www.dewen.sk/kontakt.htm,2026-09-20,"Hotel a škôlka pre psov rodinného typu bez kotercov v prírodnom prostredí (GPS: 48.262218, 16.964697); presný mestský obvod neistý, adresa v okolí Devínskeho jazera"
Dunčovňa,"Hrachová 41, 821 05 Bratislava",ruzinov,+421 908 893 398,duncovna@gmail.com,https://www.duncovna.sk,dog,https://www.duncovna.sk,2026-09-20,Denná škôlka a nočný bezklietkový psí hotel v Ružinove
TLAPKY - Zvieracia družina,"Výtvarná 15, 821 06 Bratislava",vrakuna,+421 948 733 073,zvieraciadruzina@gmail.com,https://www.tlapky.sk,dog,https://www.tlapky.sk,2026-09-20,Psí hotel a škôlka v rodinnom dome s oplotenou záhradou
Dogtrainer – Peter Peller,"Sabinovská 5, 821 02 Bratislava",ruzinov,+421 948 262 713,bratislava@dogtrainer.sk,https://www.dogtrainer.sk,dog,https://www.dogtrainer.sk,2026-09-20,Kynologické centrum s ponukou výcviku a hotelového ubytovania pre psov
PohoDOG Team,"Janotova 14, 841 04 Bratislava",karlova-ves,+421 903 371 151,info@pohodog.sk,https://www.pohodog.sk,dog,https://www.pohodog.sk/kontakt/,2026-09-20,Domáci psí hotel a škôlka v Karlovej Vsi a Vlčom hrdle
Zvieratkovo Rača,"Mrázová 16, 831 06 Bratislava",raca,+421 905 589 956,sona@zvieratkovoraca.sk,https://www.zvieratkovo-raca.sk,dog;cat,https://www.zvieratkovo-raca.sk/kontakt/,2026-09-20,Privátny bezklietkový hotel pre psy a mačky v rodinnom dome so záhradou
Ako doma - Hotel pre psov,"Petržalka, Bratislava",petrzalka,+421 903 947 371,ako-doma@ako-doma.sk,http://ako-doma.sk,dog,http://ako-doma.sk,2026-09-20,Hotel pre psov malých plemien do 5 kg v domácom prostredí v Petržalke
