name,address,district,phone,email,website,source_url,observed_at,notes
SIBRA centrum veterinárnej medicíny,"Na vrátkach 13, 841 01 Bratislava",,+421 2 6446 1794,klinika@sibra.sk,https://www.sibra.sk,https://www.sibra.sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions
Vetline Veterinárna nemocnica,"Staromestská 6/D, 811 03 Bratislava",,+421 2 5441 2869,info@vetline.sk,https://vetline.sk,https://vetline.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Marfilvet veterinárna nemocnica,"Hodonínska 16, 841 03 Bratislava",,+421 911 555 055,info@marfilvet.sk,https://marfilvet.sk,https://www.marfilvet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions
VetPoint veterinárna klinika,"Panónska cesta 38/A, 851 04 Bratislava",,+421 948 029 674,vetpoint@anicura.sk,https://www.vetpoint.sk,https://www.vetpoint.sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna nemocnica BENNETT,"Lamačská cesta 53, 841 03 Bratislava",,+421 907 824 196,bennett.nemocnica@gmail.com,https://bennett.sk,https://bennett.sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna klinika PrimaVet,"Rustaveliho 11, 831 06 Bratislava",,+421 2 2051 2095,info@primavet.sk,https://www.primavet.sk,https://www.primavet.sk/sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna klinika BullyPet,"Odborárske námestie 4, 811 07 Bratislava",,+421 903 700 212,info@bullypetklinika.sk,https://veterinarbratislava.sk,https://veterinarbratislava.sk/#kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna poliklinika BAJVET,"Bajzova 4, 821 08 Bratislava",,+421 910 313 301,bajvet@bajvet.sk,https://www.bajvet.sk,https://www.bajvet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions
EasyVet veterinárna klinika,"Mánesovo námestie 7, 851 01 Bratislava",,+421 2 2051 2097,info@easyvet.sk,https://www.easyvet.sk,https://www.easyvet.sk/sk/kontakt,2026-09-20,docs/concept.md absent; district omitted per instructions
MyPet Clinic,"Mierová 27, 821 05 Bratislava",,+421 2 22 113 113,mypet@mypet.sk,https://www.mypet.sk,https://www.mypet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna klinika Slnečnice,"Zuzany Chalupovej 7A, 851 07 Bratislava",,+421 917 155 155,klinika@veterinaslnecnice.sk,https://veterinaslnecnice.sk,https://veterinaslnecnice.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions
Animal clinic - MVDr. Andrea Gloneková,"Nerudova 11, 821 04 Bratislava",,+421 911 521 781,glonekova@animalclinic.sk,https://www.animalclinic.sk,https://www.animalclinic.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions
VET-SVET veterinárna ambulancia,"Trhová 38, 841 01 Bratislava",,+421 2 6428 2418,info.vetsvet@gmail.com,https://vetsvet.sk,https://vetsvet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions
Small Vet Plus,"Žitná 46, 831 06 Bratislava",,+421 949 247 294,info@smallvet.sk,https://www.smallvet.sk,https://www.smallvet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Super zoo veterina,"Einsteinova 18, 851 01 Bratislava",,+421 910 430 466,avion@superzooveterina.sk,https://www.superzooveterina.sk,https://www.superzooveterina.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
ANIMAVET veterinárna ambulancia,"Medveďovej 19, 851 04 Bratislava",,+421 917 859 982,info@animavet.sk,https://www.animavet.sk,https://www.animavet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna klinika LapVet,"Osuského 46, 851 03 Bratislava",,+421 944 432 444,vet.ambulancia@gmail.com,https://www.lapvet.sk,https://www.lapvet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
PetVet veterinárna klinika,"Starohájska 35, 851 02 Bratislava",,+421 2 624 124 96,pet.vet@petvet.sk,http://www.petvet.sk,http://www.petvet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia SpektraVet,"Ružinovská 1/4814, 821 02 Bratislava",,+421 903 494 000,info@spektravet.sk,https://www.spektravet.sk,https://www.spektravet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia VetFriends,"Račianska 26/E, 831 02 Bratislava",,+421 949 429 084,info@vetfriends.sk,https://vetfriends.sk,https://vetfriends.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
ZEBRA veterinárna ambulancia,"Kresánkova 3, 841 05 Bratislava",,+421 944 725 939,veterina@zebravet.sk,https://www.zebravet.sk,https://www.zebravet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
VetPetržalka veterinárna ambulancia,"Gessayova 35, 851 03 Bratislava",,+421 908 129 010,hanka.zelenkova@gmail.com,https://www.vetpetrzalka.sk,https://www.vetpetrzalka.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
EuroVet veterinárna ambulancia,"Strečnianska 4, 851 05 Bratislava",,+421 910 978 234,info@eurovet.sk,http://www.eurovet.sk,http://www.eurovet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna klinika Planet,"Popradská 32, 821 06 Bratislava",,+421 948 910 737,info@klinikaplanet.sk,https://www.klinikaplanet.sk,https://www.klinikaplanet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
DermaVet veterinárna ambulancia,"Račianska 75, 831 02 Bratislava",,+421 903 511 156,info@dermavet.sk,https://dermavet.sk,https://dermavet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia Kocúr,"Herlianska 45, 821 03 Bratislava",,+421 903 655 897,,http://www.veterinarkocur.sk,http://www.veterinarkocur.sk,2026-09-20,docs/concept.md absent; district omitted per instructions; email not publicly listed on website
Tvoja Veterina,"Kempelenova 2, 841 04 Bratislava",,+421 915 390 806,info@tvojaveterina.sk,https://tvojaveterina.sk,https://tvojaveterina.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia AHAvet,"Ľudovíta Fullu 7, 841 05 Bratislava",,+421 2 654 128 98,ahavet.ambulancia@gmail.com,https://www.ahavet.sk,https://www.ahavet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia Labka,"Ambroseho 11, 851 02 Bratislava",,+421 944 638 753,ordinacia@veterina-labka.sk,http://www.veterina-labka.sk,http://www.veterina-labka.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia Polianky,"Polianky 8, 841 01 Bratislava",,+421 905 320 014,katarinapekarova7@gmail.com,http://www.bratislava-veterinar.sk,http://www.bratislava-veterinar.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia MVDr. Pavol Čech,"Heyrovského 12, 841 03 Bratislava",,+421 903 463 022,pavolcech@gmail.com,https://veterinalamac.sk,https://veterinalamac.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna klinika Vrakuňa,"Hradská 58, 821 07 Bratislava",,+421 2 45 25 98 31,veterinar@veterinar-vrakuna.sk,http://www.veterinar-vrakuna.sk,http://www.veterinar-vrakuna.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
Veterinárna ambulancia BHVet,"Koľajná 27, 831 06 Bratislava",,+421 2 4488 6606,info@vetambraca.sk,http://www.vetambraca.sk,http://www.vetambraca.sk,2026-09-20,docs/concept.md absent; district omitted per instructions
